Company,Symbol
Adidas,ADS
Allianz,ALV
BASF,BAS
Bayer,BAYN
Beiersdorf,BEI
BMW,BMW
Commerzbank,CBK
Continental,CON
Daimler,DAI
Deutsche Bank,DBK
Deutsche B_rse,DB1
Deutsche Lufthansa,LHA
Deutsche Post,DPW
Deutsche Telekom,DTE
E.ON,EOAN
Fresenius,FRE
Fresenius Medical Care,FME
HeidelbergCement,HEI
Henkel,HEN3
Infineon Technologies,IFX
Linde,LIN
Merck,MRK
Munich Re,MUV2
ProSiebenSat.1 Media,PSM
RWE,RWE
SAP,SAP
Siemens,SIE
ThyssenKrupp,TKA
Volkswagen Group,VOW3
Vonovia,VNA
